Day,BTC,ETH,XRP,BCH,LTC,NEO
"Jan 15, 2017",818.14,9.83,0.006867,,3.89
"Jan 14, 2017",825.14,9.79,0.00661,,3.89
"Jan 13, 2017",803.74,9.83,0.006434,,3.95
"Jan 12, 2017",775.18,9.72,0.006417,,3.84
"Jan 11, 2017",908.12,10.54,0.006708,,4.6
"Jan 10, 2017",902.44,10.37,0.006157,,4.3
"Jan 09, 2017",913.24,10.31,0.006239,,4
"Jan 08, 2017",908.17,9.87,0.006383,,3.96
"Jan 07, 2017",903.49,10.24,0.006351,,3.86
"Jan 06, 2017",1014.24,10.29,0.006197,,4.3
"Jan 05, 2017",1156.73,11.29,0.006572,,4.91
"Jan 04, 2017",1044.40,9.71,0.006385,,4.63
"Jan 03, 2017",1021.60,8.37,0.00629,,4.66
"Jan 02, 2017",998.62,8.17,0.006386,,4.52
"Jan 01, 2017",963.66,7.98,0.006523,,4.33
"Dec 31, 2016",960.63,8.15,0.006417,,4.39
"Dec 30, 2016",972.53,8.29,0.006352,,4.56
"Dec 29, 2016",975.13,7.54,0.00618,,4.58
"Dec 28, 2016",934.83,7.15,0.006193,,4.49
"Dec 27, 2016",908.35,7.28,0.006326,,4.37
"Dec 26, 2016",896.90,7.13,0.006443,,4.35
"Dec 25, 2016",899.65,7.26,0.00635,,4.56
"Dec 24, 2016",922.18,7.15,0.006275,,4.65
"Dec 23, 2016",864.89,7.58,0.006362,,3.72
"Dec 22, 2016",834.18,7.9,0.006452,,3.67
"Dec 21, 2016",800.64,7.66,0.006498,,3.66
"Dec 20, 2016",792.25,7.63,0.00654,,3.66
"Dec 19, 2016",790.69,7.87,0.006582,,3.68
"Dec 18, 2016",791.01,7.86,0.006541,,3.7
"Dec 17, 2016",785.17,7.86,0.006704,,3.63
"Dec 16, 2016",778.96,7.86,0.006662,,3.63
"Dec 15, 2016",780.07,8.24,0.006699,,3.61
"Dec 14, 2016",780.00,8.45,0.006704,,3.66
"Dec 13, 2016",780.65,8.52,0.00678,,3.67
"Dec 12, 2016",770.04,8.19,0.006744,,3.64
"Dec 11, 2016",774.75,8.13,0.006816,,3.69
"Dec 10, 2016",773.02,8.44,0.007138,,3.69
"Dec 09, 2016",769.94,8.17,0.007091,,3.69
"Dec 08, 2016",768.08,8.38,0.006849,,3.6
"Dec 07, 2016",764.21,7.89,0.006653,,3.54
"Dec 06, 2016",758.72,6.8,0.006435,,3.49
"Dec 05, 2016",773.39,7.41,0.006525,,3.88
"Dec 04, 2016",771.64,7.9,0.006592,,3.93
"Dec 03, 2016",778.25,7.77,0.006712,,3.95
"Dec 02, 2016",757.54,8.46,0.006707,,3.92
"Dec 01, 2016",746.05,8.6,0.006723,,3.91
"Nov 30, 2016",736.28,8.16,0.006779,,3.89
"Nov 29, 2016",736.33,8.73,0.007009,,3.89
"Nov 28, 2016",732.48,9,0.007082,,3.9
"Nov 27, 2016",735.44,9.31,0.007385,,3.91
"Nov 26, 2016",741.51,9.42,0.006895,,3.92
"Nov 25, 2016",740.44,9.23,0.006948,,3.91
"Nov 24, 2016",744.62,9.85,0.007062,,3.93
"Nov 23, 2016",751.74,9.92,0.007434,,3.97
"Nov 22, 2016",739.64,9.63,0.007567,,3.95
"Nov 21, 2016",731.26,9.58,0.007649,,3.93
"Nov 20, 2016",751.88,9.66,0.007799,,3.97
"Nov 19, 2016",751.83,9.48,0.007778,,3.98
"Nov 18, 2016",740.71,9.99,0.007722,,3.96
"Nov 17, 2016",744.88,10.06,0.007851,,4.06
"Nov 16, 2016",711.17,10.22,0.007888,,3.9
"Nov 15, 2016",705.79,9.97,0.008099,,3.89
"Nov 14, 2016",702.00,10.1,0.008255,,3.88
"Nov 13, 2016",705.20,9.89,0.008039,,3.77
"Nov 12, 2016",716.75,10.29,0.008061,,3.81
"Nov 11, 2016",715.55,10.51,0.008131,,3.84
"Nov 10, 2016",722.84,10.67,0.008081,,3.86
"Nov 09, 2016",709.83,10.82,0.008205,,3.85
"Nov 08, 2016",703.09,10.85,0.008111,,3.84
"Nov 07, 2016",710.74,10.9,0.008197,,3.89
"Nov 06, 2016",703.81,10.99,0.00823,,3.86
"Nov 05, 2016",703.52,11.09,0.008157,,3.88
"Nov 04, 2016",689.12,10.82,0.008015,,3.86
"Nov 03, 2016",742.35,10.8,0.008221,,4.11
"Nov 02, 2016",730.07,10.77,0.008104,,4.09
"Nov 01, 2016",701.34,10.96,0.008197,,4
"Oct 31, 2016",702.64,11.23,0.008014,,4.04
"Oct 30, 2016",714.12,10.43,0.007738,,4.1
"Oct 29, 2016",690.29,11.1,0.008157,,3.98
"Oct 28, 2016",688.00,11.47,0.008483,,4.04
"Oct 27, 2016",678.21,11.53,0.008833,,3.96
"Oct 26, 2016",657.68,11.38,0.008884,,3.91
"Oct 25, 2016",654.00,11.97,0.009065,,3.87
"Oct 24, 2016",657.16,12.04,0.009432,,3.92
"Oct 23, 2016",657.62,12.13,0.008977,,3.89
"Oct 22, 2016",633.14,12.18,0.009027,,3.81
"Oct 21, 2016",630.83,12.13,0.00909,,3.79
"Oct 20, 2016",630.66,12.05,0.008636,,3.81
"Oct 19, 2016",638.13,12.59,0.008348,,3.85
"Oct 18, 2016",639.41,12,0.008032,,3.95
"Oct 17, 2016",641.82,11.96,0.008079,,3.89
"Oct 16, 2016",639.08,11.98,0.008137,,3.88
"Oct 15, 2016",640.31,11.94,0.008769,,3.9
"Oct 14, 2016",637.01,11.99,0.00798,,3.91
"Oct 13, 2016",636.03,11.91,0.007951,,3.75
"Oct 12, 2016",640.87,11.78,0.008208,,3.82
"Oct 11, 2016",619.24,11.76,0.007993,,3.8
"Oct 10, 2016",616.82,12.06,0.007542,,3.82
"Oct 11, 2016",619.24,,,,
"Oct 10, 2016",616.82,,,,
